,,,,,,,,,,,,,,,,,,,,,,,,,
"Nombre de ""Oh my God"" présent dans la série Friends :",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,SAISON 1,SAISON 2,SAISON 3,SAISON 4,SAISON 5,SAISON 6,SAISON 7,SAISON 8,SAISON 9,SAISON 10,Total,Pourcentage,,,,,,,,,,,,,
603,6,07/10/1999,"21,6",,,,,,,,,,,,,,,,,,,,,,
604,6,14/10/1999,"21,1",,,,,,,,,,,,,,,,,,,,,,
605,6,21/10/1999,"22,4",,,,,,,,,,,,,,,,,,,,,,
606,6,04/11/1999,"23,6",,,,,,,,,,,,,,,,,,,,,,
607,6,11/11/1999,"22,7",,,,,,,,,,,,,,,,,,,,,,
608,6,18/11/1999,"22,1",,,,,,,,,,,,,,,,,,,,,,
609,6,25/11/1999,"19,2",,,,,,,,,,,,,,,,,,,,,,
610,6,16/12/1999,"22,4",,,,,,,,,,,,,,,,,,,,,,
611,6,6 jan. 2000,"22,3",,,,,,,,,,,,,,,,,,,,,,
612,6,13 jan 2000,"22,3",,,,,,,,,,,,,,,,,,,,,,
613,6,3 fév 2000,"24,1",,,,,,,,,,,,,,,,,,,,,,
614,6,10 fév 2000,"23,8",,,,,,,,,,,,,,,,,,,,,,
615,6,17 fév 2000,"20,7",,,,,,,,,,,,,,,,,,,,,,
616,6,17 fév 2000,"20,7",,,,,,,,,,,,,,,,,,,,,,
617,6,24 fév 2000,"22,1",,,,,,,,,,,,,,,,,,,,,,
618,6,09/03/2000,"20,5",,,,,,,,,,,,,,,,,,,,,,
619,6,23/03/2000,"21,5",,,,,,,,,,,,,,,,,,,,,,
620,6,13/04/2000,"18,8",,,,,,,,,,,,,,,,,,,,,,
621,6,27/04/2000,"20,6",,,,,,,,,,,,,,,,,,,,,,
622,6,04/05/2000,20,,,,,,,,,,,,,,,,,,,,,,
623,6,11/05/2000,"20,9",,,,,,,,,,,,,,,,,,,,,,
624,6,18/05/2000,"30,7",,,,,,,,,,,,,,,,,,,,,,
625,6,18/05/2000,"30,7",,,,,,,,,,,,,,,,,,,,,,
701,7,12/10/2000,"25,54",,,,,,,,,,,,,,,,,,,,,,
702,7,12/10/2000,"27,93",,,,,,,,,,,,,,,,,,,,,,
703,7,19/10/2000,"22,7",,,,,,,,,,,,,,,,,,,,,,
704,7,26/10/2000,"22,66",,,,,,,,,,,,,,,,,,,,,,
705,7,02/11/2000,"24,43",,,,,,,,,,,,,,,,,,,,,,
706,7,09/11/2000,"22,01",,,,,,,,,,,,,,,,,,,,,,
707,7,16/11/2000,"23,73",,,,,,,,,,,,,,,,,,,,,,
708,7,23/11/2000,"16,57",,,,,,,,,,,,,,,,,,,,,,
709,7,07/12/2000,"21,08",,,,,,,,,,,,,,,,,,,,,,
710,7,14/12/2000,"23,26",,,,,,,,,,,,,,,,,,,,,,
711,7,04/01/2001,"24,37",,,,,,,,,,,,,,,,,,,,,,
712,7,11/01/2001,"22,86",,,,,,,,,,,,,,,,,,,,,,
713,7,1er Fév 2001,"22,24",,,,,,,,,,,,,,,,,,,,,,
714,7,8 Fév 2001,"22,4",,,,,,,,,,,,,,,,,,,,,,
715,7,15 Fév 2001,"21,75",,,,,,,,,,,,,,,,,,,,,,
716,7,22 Fév 2001,"21,22",,,,,,,,,,,,,,,,,,,,,,
717,7,15/03/2001,"20,84",,,,,,,,,,,,,,,,,,,,,,
718,7,29/03/2001,"17,81",,,,,,,,,,,,,,,,,,,,,,
719,7,19/04/2001,"16,55",,,,,,,,,,,,,,,,,,,,,,
720,7,26/04/2001,"16,3",,,,,,,,,,,,,,,,,,,,,,
721,7,03/05/2001,"15,65",,,,,,,,,,,,,,,,,,,,,,
722,7,10/05/2001,"17,23",,,,,,,,,,,,,,,,,,,,,,
723,7,17/05/2001,"30,05",,,,,,,,,,,,,,,,,,,,,,
724,7,17/05/2001,"30,05",,,,,,,,,,,,,,,,,,,,,,
801,8,27/09/2001,"31,7",,,,,,,,,,,,,,,,,,,,,,
802,8,04/10/2001,"30,04",,,,,,,,,,,,,,,,,,,,,,
803,8,11/10/2001,"29,2",,,,,,,,,,,,,,,,,,,,,,
804,8,18/10/2001,"25,58",,,,,,,,,,,,,,,,,,,,,,
805,8,25/10/2001,"25,64",,,,,,,,,,,,,,,,,,,,,,
806,8,1er nov 01,"26,96",,,,,,,,,,,,,,,,,,,,,,
807,8,08/11/2001,"24,24",,,,,,,,,,,,,,,,,,,,,,
808,8,15/11/2001,"26,54",,,,,,,,,,,,,,,,,,,,,,
809,8,22/11/2001,"24,24",,,,,,,,,,,,,,,,,,,,,,
810,8,06/12/2001,"22,44",,,,,,,,,,,,,,,,,,,,,,
811,8,13/12/2001,"23,85",,,,,,,,,,,,,,,,,,,,,,
812,8,10/01/2002,"25,53",,,,,,,,,,,,,,,,,,,,,,
813,8,17/01/2002,"29,24",,,,,,,,,,,,,,,,,,,,,,
814,8,31/01/2002,"28,64",,,,,,,,,,,,,,,,,,,,,,
815,8,7 fév 02,"28,64",,,,,,,,,,,,,,,,,,,,,,
816,8,28 fév 02,"27,52",,,,,,,,,,,,,,,,,,,,,,
817,8,07/03/2002,"26,3",,,,,,,,,,,,,,,,,,,,,,
818,8,28/03/2002,"22,05",,,,,,,,,,,,,,,,,,,,,,
819,8,04/04/2002,"22,59",,,,,,,,,,,,,,,,,,,,,,
820,8,25/04/2002,"22,24",,,,,,,,,,,,,,,,,,,,,,
821,8,02/05/2002,"23,97",,,,,,,,,,,,,,,,,,,,,,
822,8,09/05/2002,"24,32",,,,,,,,,,,,,,,,,,,,,,
823,8,16/05/2002,"34,91",,,,,,,,,,,,,,,,,,,,,,
824,8,16/05/2002,"34,91",,,,,,,,,,,,,,,,,,,,,,
901,9,26/09/2002,"34,01",,,,,,,,,,,,,,,,,,,,,,
902,9,03/10/2002,"28,93",,,,,,,,,,,,,,,,,,,,,,
903,9,10/10/2002,"26,63",,,,,,,,,,,,,,,,,,,,,,
904,9,17/10/2002,"25,82",,,,,,,,,,,,,,,,,,,,,,
905,9,31/10/2002,"24,46",,,,,,,,,,,,,,,,,,,,,,
906,9,07/11/2002,"27,51",,,,,,,,,,,,,,,,,,,,,,
907,9,14/11/2002,"25,35",,,,,,,,,,,,,,,,,,,,,,
908,9,21/11/2002,"26,76",,,,,,,,,,,,,,,,,,,,,,
909,9,05/12/2002,"25,43",,,,,,,,,,,,,,,,,,,,,,
910,9,12/12/2002,"22,29",,,,,,,,,,,,,,,,,,,,,,
911,9,09/01/2003,"23,67",,,,,,,,,,,,,,,,,,,,,,
912,9,16/01/2003,"23,66",,,,,,,,,,,,,,,,,,,,,,
913,9,30/01/2003,"25,82",,,,,,,,,,,,,,,,,,,,,,
914,9,6 fév 03,"23,37",,,,,,,,,,,,,,,,,,,,,,
915,9,13 fév 03,"20,85",,,,,,,,,,,,,,,,,,,,,,
916,9,20 fév 03,"19,52",,,,,,,,,,,,,,,,,,,,,,
917,9,13/03/2003,21,,,,,,,,,,,,,,,,,,,,,,
918,9,03/04/2003,"20,79",,,,,,,,,,,,,,,,,,,,,,
919,9,17/04/2003,"18,25",,,,,,,,,,,,,,,,,,,,,,
920,9,24/04/2003,"20,71",,,,,,,,,,,,,,,,,,,,,,
921,9,1er mai 03,"19,03",,,,,,,,,,,,,,,,,,,,,,
922,9,08/05/2003,"19,55",,,,,,,,,,,,,,,,,,,,,,
923,9,15/05/2003,"25,46",,,,,,,,,,,,,,,,,,,,,,
924,9,15/05/2003,"25,46",,,,,,,,,,,,,,,,,,,,,,
1001,10,25/09/2003,"24,54",,,,,,,,,,,,,,,,,,,,,,
1002,10,02/10/2003,"22,38",,,,,,,,,,,,,,,,,,,,,,
1003,10,09/10/2003,"21,87",,,,,,,,,,,,,,,,,,,,,,
1004,10,23/10/2003,"18,77",,,,,,,,,,,,,,,,,,,,,,
1005,10,30/10/2003,"19,37",,,,,,,,,,,,,,,,,,,,,,
1006,10,06/11/2003,"20,38",,,,,,,,,,,,,,,,,,,,,,
1007,10,13/11/2003,"20,21",,,,,,,,,,,,,,,,,,,,,,
1008,10,20/11/2003,"20,66",,,,,,,,,,,,,,,,,,,,,,
1009,10,08/01/2004,"25,49",,,,,,,,,,,,,,,,,,,,,,
1010,10,15/01/2004,"26,68",,,,,,,,,,,,,,,,,,,,,,
1011,10,05/02/2004,"24,91",,,,,,,,,,,,,,,,,,,,,,
1012,10,12 fév 04,"25,9",,,,,,,,,,,,,,,,,,,,,,
1013,10,19 fév 04,"24,27",,,,,,,,,,,,,,,,,,,,,,
1014,10,26 fév 04,"22,83",,,,,,,,,,,,,,,,,,,,,,
1015,10,22/04/2004,"22,64",,,,,,,,,,,,,,,,,,,,,,
1016,10,29/04/2004,"24,51",,,,,,,,,,,,,,,,,,,,,,
1017,10,06/05/2004,"36,89",,,,,,,,,,,,,,,,,,,,,,
1018,10,06/05/2004,"52,46",,,,,,,,,,,,,,,,,,,,,,
